STATUS_JOIN_ID,ITEM_JOIN_ID,ITEM_ID,FROM_STATUS_IDENTIFIER,FROM_STATE,FROM_FINDING,TO_STATUS_IDENTIFIER,TO_STATE,TO_FINDING,CREATE_DATE,USER_JOIN_ID
6059387,3658498,WLF101-1363601-89626,2,Open,No_Determination,3,Open,No_Determination,2021-08-16 18:02:47,34001
6059825,3658498,WLF101-1363601-89626,3,Open,No_Determination,IMPL_AML_FALSE_POSITIVE,Closed,Non_Issue,2021-08-17 09:03:03,30203
5780701,3541863,WLF101-939701-62908,,,,2,Open,No_Determination,2021-03-17 14:52:06,22601
5135431,3292184,WLF101-945401-62939,2,Open,No_Determination,24,Open,No_Determination,2020-03-17 15:22:11,30202
5782825,3541863,WLF101-939701-62908,3,Open,No_Determination,IMPL_AML_FALSE_POSITIVE,Closed,Non_Issue,2021-03-18 12:04:25,30204
6059345,3658498,WLF101-1363601-89626,,,,2,Open,No_Determination,2021-08-16 17:54:06,22601
5781004,3541863,WLF101-939701-62908,2,Open,No_Determination,3,Open,No_Determination,2021-03-17 15:00:55,34001
5800865,3292184,WLF101-945401-62939,24,Open,No_Determination,IMPL_AML_FALSE_POSITIVE,Closed,Non_Issue,2021-03-25 16:35:50,18506
5074477,3292184,WLF101-945401-62939,,,,2,Open,No_Determination,2020-02-11 16:00:01,22601
