ALERT_INTERNAL_ID,AUDIT_INTERNAL_ID,CREATE_DATE,AUDIT_EVENT,USER_INTERNAL_ID,FULL_NAME,NOTE,BUS_DT
10585083,90526602,2020-01-08-11.14.53.896000,Alert created,42101,AML CMU,Item identifier: SANC-ASM-3155561,20200109
10585083,90555611,2020-01-09-02.11.16.196000,Status changed,314102,Analyst Analyst,Change step forward,
10671963,91256598,2020-01-23-11.22.09.263000,Alert created,42101,AML CMU,Item identifier: SANC-ASM-3209294,20200124
10671963,91386464,2020-01-27-06.36.34.616000,Status changed,273304,Analyst Analyst,Change step forward,
10676283,91310339,2020-01-24-11.24.04.770000,Alert created,42101,AML CMU,Item identifier: SANC-ASM-3211946,20200127
10676283,97695794,2020-04-21-16.18.13.793000,Viewed,167103,Analyst Analyst,,20200422
