ALERT_ID,ALERT_XML_OFFSET_INFO
SANC-ASM-3155561,<XDS FIL='WM_Address_Alerts_XML.csv.001.xml' OFF='0' LEN='9449' />
SANC-ASM-3209294,<XDS FIL='WM_Address_Alerts_XML.csv.002.xml' OFF='0' LEN='9698' />
SANC-ASM-3211946,<XDS FIL='WM_Address_Alerts_XML.csv.003.xml' OFF='0' LEN='10286' />
