SourceState,Recommendation,DestinationState
NEW,ACTION_FALSE_POSITIVE,"Level 2-, FALSE1"
NEW,ACTION_POTENTIAL_TRUE_POSITIVE,"Level 2-, TRUE1"
NEW,ACTION_INVESTIGATE,"Level 1-, SEAR_UNRESOLVED"
PENDING,ACTION_FALSE_POSITIVE,"Level 2-, FALSE1"
PENDING,ACTION_POTENTIAL_TRUE_POSITIVE,"Level 2-, TRUE1"
PENDING,ACTION_INVESTIGATE,"Level 1-, SEAR_UNRESOLVED"
